character,english,pin
你,You (singular),nǐ
好,Good,hǎo
您,You (polite singular),nín
零,Zero,líng
一,One,yī
二,Two,èr
五,Five,wǔ
八,Eight,bā
老师,Teacher,lǎo shī
你们,You (plural),nǐmen
早上,Morning,zǎoshang
是,be,shì
哪,Which; what,nǎ
国,Country,guó
人,People,rén
我,me,wǒ
呢,What about?,ne
他,he; him,tā
三,three,sān
四,four,sì
十,ten,shí
请问,Excuse me; may I ask,qǐngwèn
请,Please,qǐng
问,Ask,wèn
叫,name,jiào
什么,What,shénme
名字,Name,míngzi
姓,Be,xìng
认识,Know; recognize,rènshi
很,Very; very much,hěn
高兴,Glad; happy,gāo xìng
也,Also; too; as well,yě
贵姓,Your (honourable) surname,guìxìng
六,Six,liù
七,Seven,qī
九,,jiǔ	Nine
留学生,Student studying abroad,liúxuéshēng
她,She; her,tā
学习,Learn; study,xuéxí
他们,They,tāmen
们,Used to form a plural number when added to a personal pronoun or a noun,men
一起,Together,yīqǐ
上课,Attend class,shàngkè
说,Speak,shuō
法国,France,Fǎguó
汉语,Chinese (language),Hànyǔ
泰国,Thailand,Tàiguó
中国,China,Zhōngguó
吗,Used at the end of a (yes/no) question,ma
不,Not,bù
英语,English (language),Yīngyǔ
法语,French (language),Fǎyǔ
谁,Who,shéi (shuí)
同学,Fellow student,tóngxué
日语,Japanese language,Rìyǔ
韩语,Korean language,Hányǔ
德语,German (language),Déyǔ
意大利语,Italian (language),Yìdàlìyǔ
西班牙语,Spanish language,Xībānyáyǔ
家,,jiā	Family; home
有,Have,yǒu
口,A measure word,kǒu
爸爸,Father,bàba
妈妈,Mother,māma
哥哥,Older brother,gēge
和,And,hé
职员,Office worker,zhíyuán
都,both,dōu	All
大学生,College or university student,dàxuéshēng
几,How many,jǐ
做,engage in,zuò	Do
工作,Job;task,gōngzuò
律师,Lawyer; attorney,lǜshī
医生,Doctor; medical practitioner,yīshēng
你们,You (plural),nǐmen
班,class; group,bān	Team
多少,How much; how many,duōshao
个,Used before nouns without a special classifier of their own,gè
学生,Student,xuésheng
我们,We,wǒmen
两,Two,liǎng
姐姐,Older sister,jiějie
妹妹,Younger sister,mèimei
弟弟,Younger brother,dìdi
工人,Worker; labourer,gōngrén
农民,Peasant; farmer,nóngmín
护士,Nurse,hùshi
警察,Police,jǐngchá
想,Want to; would like to; be going to,xiǎng
买,purchase,mǎi	Buy
电子词典,,diànzǐ cídiǎn;	Electronic dictionary
电子,Electronic,diànzǐ
词典,Dictionary,cídiǎn
电脑,Computer,diànnǎo
部,Used for books; films; machines,bù
百,Hundred,bǎi
块,Unit of money,kuài
钱,Money,qián
台,Used for certian machinery or apparatus,tái
千,Thousand,qiān
共,Altogether; in all,yīgòng
需要,Need,xūyào
营业员,Attendant; shop assistant,yíngyèyuán
要,Want; need,yào
面包,Bread,miànbāo
种,Kind; sort,zhǒng
这,This,zhè
谢谢,Thank,xièxie
不客气,You're welcome,bù kèqi
客气,Polite,kèqi
香蕉,Banana,xiāngjiāo
斤,equal to 0.5 kg,jīn	Weight
苹果,Apple,píngguǒ
再,once more,zài	Again
毛,A fractional monetary unit in China(=1/10 yuan),máo
书,(measure word běn)	Book,shū
手机,(measure word gè/bù)	Cell phone,shǒujī
咖啡,(measure word bēi)	Coffee,kāfēi
牛奶,(measure word dài/hé)	Milk,niúnǎi
啤酒,(measure word píng)	Beer,píjiǔ
矿泉水,(measure word píng)	Mineral spring water,kuàngquánshuǐ
可乐,(measure word píng)	Cola,kělè
草莓,(measure word jīn/gōngjīn)	Strawberry,cǎoméi
西瓜,(measure word jīn/gōngjīn)	Watermelon,xīguā
橘子,(measure word jīn/gōngjīn)	Orange; tangerine,júzi
教学楼,Classroom building,jiàoxuélóu
教学,Teaching,jiàoxué
楼,Storied building,lóu
在,Indicationg where a person or thing is,zài
这儿,Here,zhèr
图书馆,Library,túshūguǎn
边,Side,biān
北边,North,běibiān
西边,West,xībiān
南边,South,nánbian
运动场,Sports field,yùndòngchǎng
体育馆,gymnasium,tǐyùguǎn	Gym
饭馆,Restaurant,fànguǎn
还,Also,hái
超市,Supermarket,chāoshì

